on,is
apua,Help
kertaa,time
lisää,more
tohtori,doctor
pitänyt,have been
piti,had to
enkä,I do not
tavata,meet
yksin,alone
olisin,I would have
ensin,first
yhden,one
siksi,because
parempi,better
voinut,could not
pieni,small
teki,did
sanoit,did you say
e,e
odottaa,expect
jonkun,someone
vie,will take
tosi,true
ketään,anyone
paras,best
senkin,pitched
tuntuu,feels
ainoa,only
meni,went to
tulkaa,please come
saan,I get
neiti,miss
kaveri,guy
uusi,new
paikka,place
hetki,moment
mä,I
oletteko,have you
ohi,past
mikään,any
jota,whom
pyydän,Please
pari,pair
vanha,old
milloin,When
kuuluu,includes
yhä,still
irti,loose
nopeasti,quickly
ajattelin,I thought
saanut,received
minäkin,me too
hiljaa,shut up
jumala,God
etten,I do not
ihmisiä,people
viime,last
tarpeeksi,enough
jotta,so
kanssasi,with you
jotakin,something
ymmärrä,understand the
miehen,male
muista,remember
haluaisin,I would like to
alkaa,start
yli,over
viisi,five
sai,received
tarkoitan,I mean
vittu,fuck
pysy,stay
osaa,part
minkä,what
voinko,I can
oikea,right
teit,you did
kiltti,kind
iso,major
tulossa,pending
oliko,whether
dollaria,dollars
kaunis,beautiful
teemme,we do
voisin,I could
tahansa,any
tullut,come to
tarkoittaa,mean
kohta,paragraph
tein,I did
isäni,my father
hitto,deuce
menossa,on
rahat,money
heille,them
asiaa,things
otan,I will take
halusin,I wanted to
tänä,this
riittää,enough
hyvältä,good
puhu,talking about
haloo,Hello
yritän,I try to
minuun,me
kunnes,until
nimi,name
kyse,about
asti,until
läpi,through
nuo,those
neljä,four
ymmärrän,I understand
pikku,little
soittaa,call
luulet,you think
sanoo,says
kapteeni,captain
täysin,completely
jossa,where
kanssani,with me
asioita,things
silti,still
pojat,the boys
melkein,almost
menkää,go to
hullu,crazy
saanko,can I
näytä,show
helvetti,hell
muuten,otherwise
vauhtia,the pace
poliisi,police
ensimmäinen,first
sama,same
katsokaa,look at
poissa,Absent
vitun,fucking
mukana,with
john,john
tarkoitat,you mean
ettet,you do not
kello,clock
kerron,I will tell
miltä,what
luuletko,do you think
oikeasti,for real
mukava,nice
kuullut,heard
toivottavasti,hopefully
näen,I see
yötä,nights
tulin,I came to
hieno,fine
jokin,one
näytät,you look
kuoli,died
olisit,you would have
sieltä,from there
isäsi,father
jack,jack
olkaa,be
tunnen,I feel
töitä,working
vuoden,year
löytää,find
pysty,upright
siltä,bridge
uskoa,believe
puhut,you speak
minuuttia,minutes
vasta,only
a,a
auta,help
niistä,of them
suoraan,directly
kuulin,I heard
ainakin,at least
käyttää,use
voitte,you can
varten,for
yrittää,try
tunne,feeling
kuitenkin,however
jätä,drift net
valmiina,at the ready
maailman,world
hyvät,good
tiennyt,did not know
hauska,fun
sellaista,kind of
jopa,even
new,new
viitsi,come on
päivän,day
sä,you
tapa,way
kanssaan,with them
yhtään,any
sait,did you get
liikaa,too much
huomenta,Good morning
mieltä,view
kuulostaa,sound
unohda,forget the
kotona,at home
meistä,Us
terve,Hey
muut,other
auto,car
kuule,Listen
tehdään,done
maksaa,pay
päivänä,day
kaikkea,all
ystäväni,my friend
tervetuloa,welcome
mikset,why do not
näe,can not see
asiat,things
kuulla,hear
rauhoitu,Take it easy
pakko,forced
halunnut,wanted
suuri,large
parasta,The best
yritä,try
lähdetään,let's go
onnea,congratulations
sanon,I say
samaa,the same
välitä,care about
aikaan,time
paitsi,except
tietysti,Of course
muistatko,do you remember
erittäin,very
toisen,another
kovin,very
tapahtunut,happened
aion,I'm going to
vuoksi,because of
soita,call
työtä,the work of
asian,the matter
annan,I will give
tulevat,will come
sehän,that's
miestä,a man
lapset,children
sille,it
elää,to live
miehet,gentlemen
paskiainen,son of a bitch
kiva,nice
tarvitsemme,we need
osa,part
monta,various
naiset,ladies
palaa,burn
niiden,their
eilen,yesterday
viimeinen,last
uuden,new
äitisi,your mother
voitko,can you
sanonut,said,
aio,going to
tarvitsee,need
olemaan,to be
jolla,whereby
menemme,we will go
tiesin,I knew
uudestaan,re-
iltana,evening
helvettiä,hell
ovi,door
tietenkin,Of course
vaivaa,effort
jättää,leave
kertoi,told
olimme,we were
ai,Oh
tavalla,way
ok,alright
hetkinen,Wait a minute
avaa,opens
ensi,next
sinuun,you
uskon,I think
oikeastaan,really
teistä,of you
tuntia,hours
toki,Sure
eli,or
saamme,we get
laita,wing
ongelmia,problems
kertonut,told
päälle,on
lähellä,near
hätänä,up
heillä,they
soitan,I'm calling
minulta,me
mr,mr
tulet,you will
ongelma,problem
sanot,you say
divxfinland,divx finland
voisitko,will you please
äitini,my mother
herrat,messrs
jää,ice
nimeni,my name
antakaa,please give
ase,gun
aiot,you are going
katsomaan,take a look
ulkona,outside
kaikkien,all
pidät,you like
menet,you go
lähde,source
asiassa,case
joita,whom
haluavat,want to
sellainen,such
ala,area
lapsi,child
tuossa,there
takana,double cloth
viedä,to take
löysin,I found
mahtavaa,great
poikani,my son
näitä,these
pääse,access
kuusi,six
toivon,I hope
muita,other
uudelleen,again
heistä,of them
naisen,the woman
oma,own
paha,evil
naimisiin,married
paremmin,better
ihminen,man
väliä,Any
näetkö,can you see
molemmat,both
aamulla,in the morning
jäädä,stay
vuonna,year
eri,different
sopii,fits
sisällä,indoors
kysyä,ask
hätää,worry
haluatte,you want
tyyppi,type
varo,precautionary
voisit,you could
muka,supposedly
lähden,I go on
tarvitset,you need
helvetin,fucking
sinulta,you
väärin,wrong
hoitaa,to take care
frank,frank
odottakaa,wait for
istu,sit down
kuolla,die
olekin,not it
kultaseni,sweetheart
vastaa,responsible for
kaikille,all
tiedäthän,you know
kahden,the two of you
luo,round
ruokaa,food
nuori,young
voivat,can
hakemaan,to pick up
ymmärrätkö,Do you understand
huono,bad
lopettaa,stop
antoi,gave the
homma,business
tytön,the girl
olleet,been
käydä,visit
tunnin,-hour
tekemään,to do
maan,terrestrial
seuraa,follow
kysymys,question
etkä,you do not
puhun,I'm talking about
elämä,life
kymmenen,ten
jeesus,Jesus
voisimme,we could
muistan,I remember
kävi,visited
katsoa,look
kunhan,as long as the
tulit,you came
vaimoni,my wife
jokainen,every
syytä,reason
tehty,made
sanotaan,they say
täynnä,full
nimesi,Your name
taitaa,know
kestä,stand up
aikana,during
lapsia,children
kaverit,friends
tiedämme,we know
tärkeää,important
sekä,mixed
teette,you do
tytöt,the girls
vettä,of water
hetken,for a moment
saattaa,may
hyviä,good
halusi,wanted
uutta,new
onkin,it is
tekevät,make
elossa,alive
ollaan,being
auton,car
puoli,half
jumalan,the god
toimii,acts
kusipää,cunt
voittaa,win
tuonne,there
mukavaa,nice
kestää,take
charlie,charlie
sinäkin,you too
pitkä,long
ottakaa,please
lupaan,I promise
numero,number
näet,you see
kaikkia,all
päin,towards
elämäni,my life
ympäri,around
tappoi,killed
toimi,action
samoin,likewise
paskaa,shit
saatte,you will receive
näytän,show
eihän,is it
häneen,with him
vaikea,difficult
auki,open
kenen,whose
etsin,I am looking for
töissä,at work
tapauksessa,event
paskat,shits
hoidan,I take care of
pomo,boss
puolesta,on behalf of
muu,other
paikan,place
pelkää,afraid of
yritin,I tried to
ovatko,whether
joko,either
paljonko,how much
onneksi,fortunately
uskomatonta,unbelievable
päällä,on
mahdollista,possible
loppu,end
kunnon,good
paikalla,present
mun,my
nimensä,its name
org,org
ystäviä,friends
tulisi,should
joe,joe
huolta,take care
sinähän,thou not
jatkaa,continue
ihmisten,people
alla,below
maahan,down
oman,oman
liikettä,motion
matkalla,en route
tapan,I will kill
michael,michael
muuttaa,change
olemassa,exist
lähti,bay
kaukana,far
verta,blood
taida,able
saimme,we received
eteenpäin,ahead
iloinen,cheerful
tehtävä,mission
haista,smell
kenraali,general
tom,tom
mahtava,spectacular
myöhässä,late
pitäkää,please keep
velkaa,indebted
rakas,love
outoa,strange
jossain,somewhere
sam,sam
ajaa,drive
todellakin,indeed
muutaman,a few
edessä,in front
seuraava,next
kerta,time
rakastaa,love
tuskin,hardly
maailma,world
puhuu,speaks
luota,from
tuosta,from that
alkoi,started
kautta,through
josta,whereof
ystävä,friend
töihin,to work
sisälle,inside
syö,eat
idea,idea
nouse,arise
sentään,at least
david,david
päässä,off
aiemmin,previously
jotkut,some
saisi,should
haluaisi,would want to
tekstityksen,subtitle
olenko,Am I
idiootti,idiot
lähtee,goes
haluamme,we want
niinpä,so
yleensä,usually
seis,Stop
syödä,eat
tilanne,situation
häivy,Get lost
yhteen,together
saavat,will receive
kädet,your hands
ikävä,tedious
vaikeaa,hard
george,george
luultavasti,probably
jäljellä,left
luona,by
helppoa,easy
itseni,myself
itsesi,yourself
ettekö,Do you
pyytää,request
palata,return
käynyt,visited
seitsemän,seven
olkoon,Congratulations
häneltä,from her
itsensä,itself
onpa,it is
illalla,in the evening
ajattele,Just think
loppuun,out
jatka,jack
talo,house
kerroin,factor
veljeni,my brother
yönä,night
alle,under
vaikuttaa,influence
huoli,worry
toista,repeat
laittaa,put
itseäsi,yourself
miehiä,men
tosiaan,really
rauhaan,peace
presidentti,president
miljoonaa,million
miksei,why not
kiitoksia,Thank you
pääsi,flagstone
mennyt,gone
kuolee,dies
haen,I apply
muutama,one or two
viikon,the week
vien,of
turpa,chub
katsotaan,wait and see
mike,mike
odotan,I look forward to
sun,Sun.
välillä,between
väärässä,in danger
luottaa,trust
kohti,towards
usein,often
kuukautta,months
aiotko,are you going to
tyhmä,stupid
koira,dog
mielestäni,I think
ostaa,buy
pidätkö,do you like
eräs,one
jutun,story
näkemiin,Goodbye
t,t
minähän,for I
samalla,in the process
helvettiin,hell
vihaan,I hate
turvassa,in security
alan,industry
pojan,the son
talon,house
ymmärtää,understand
puolella,on the side of
pitkään,long
haittaa,harm to
kuulu,part of
kuluttua,after
veli,brother
kuningas,king
jimmy,jimmy
käytä,use the
syy,reason
kaikesta,all
sairas,sick
hae,get
auttakaa,please help
sattuu,hurts
kysy,ask
the,the
pysykää,stick to your
onnellinen,happy
mestari,Master
kahdeksan,eight
etsi,search for
pelastaa,to save
naimisissa,married
vuotias,years old
kunnolla,properly
rauhallisesti,quietly
lähtien,since
ammu,shoot
mitäs,what
katson,I look
kahvia,coffee
jutella,chat
vihainen,mad
totuus,truth
täydellinen,perfect
selvää,clear
lopettakaa,please stop
viikolla,during the week
painu,go to
äkkiä,short
pysyä,stay
pää,head
varovainen,careful
nukkumaan,to sleep
minuutin,minutes
viikkoa,weeks
tekisi,would make
ajatus,thought
kuulemma,reportedly
yritti,tried to
iltaa,evening
ketä,who
millainen,what kind of
taidan,I think I
elämän,life
eversti,colonel
ystäväsi,friend
harry,harry
suurin,major
tekemistä,to do
viimeksi,last
melko,quite
yhteyttä,Contact
kovasti,hard
kohtaan,towards
aloittaa,start
paul,paul
kertoo,says
näkee,sees
tahdon,will
selittää,explain
lähdemme,we leave
mieheni,my husband
soitti,phoned
pitäisikö,should
tiedätte,you know
mentävä,to go
autoon,the car
tietä,the way
tuohon,at that
enempää,any more
ben,ben
ilta,evening
tärkeä,important
helvetissä,hell
saman,the same
tällaista,kind of
hetkellä,the moment
tapaamaan,to meet
james,james
tarina,shaking
tajua,humor
loistava,glorious
vannon,I swear
haluatteko,Do you want
peter,peter
bob,bob
otti,took
kaupungin,town's
koske,apply
kerralla,at once
ylpeä,proud
pahaa,bad
loistavaa,brilliant
juokse,the running
edelleen,still
musta,black
arvaa,guessing
enpä,I do not
keitä,who
käyn,I visit
elämää,of life
tiedättekö,do you know
selville,find out
pääsee,access
taakse,behind
asiasta,the matter
oltava,to be
yön,night
otetaan,taking
maailmassa,the world
rauhassa,in peace
äidin,maternal
palaan,I will return
tietenkään,Of course,
lääkäri,doctor
ajatella,think
pääsemme,we get
oie,oie
pelkkä,mere
kuuletko,can you hear
leikkiä,play
jälleen,again
näitkö,did you see
asuu,lives
vaimo,wife
ampua,shoot
vieläkin,even
voimmeko,can we
tietävät,know
eteen,in front of
aja,drive the
kuunnelkaa,listen to
annoin,I gave
hyvän,good
johtaja,manager
tarvitaan,needed
noita,witch
mietin,I think
uutisia,news
vuosi,year
puhutaan,talk about
ajatellut,thought
millä,whereby
jotenkin,somehow
perhe,family
naisia,women
sekaisin,tumbled
johtaa,to lead
teimme,we made
vei,took
eroon,rid of
kirjoittaa,write
isän,paternal
ihana,wonderful
menin,I went to
pidetään,will be held
suomennos,suomennos
osaan,part
ihmisen,human
ainakaan,at least not
tähden,for the sake of
peli,game
pääset,you
ihmistä,people
jätti,giant
lähettää,send
mihinkään,anywhere
herää,Wake up
ethän,do you
esiin,out
pane,place
tarkoitus,purpose
vittua,the fuck
ellei,unless
antanut,given
tarjoaa,offers
hittoa,heck
kauanko,how long
omaa,own
enkö,Did not
unta,dream
tien,the road
otin,I took
sanovat,say,
tekeillä,afoot
yrität,you try to
upea,magnificent
billy,billy
viekää,ye shall carry
tehneet,done
ray,ray
kova,hard
varovasti,carefully
hyvästi,Goodbye
kaikista,of all
ensimmäisen,first
max,max
löydä,find
lukea,read
vapaa,free
näki,saw the
viesti,message
toi,brought
tunnet,you feel
paikkaa,seats
äläkä,and do not
oven,the door
muiden,other
jep,Yup
keskellä,in the middle
kuulitko,did you hear
lapsen,the child
jostain,for some
pienen,small
johnny,johnny
s,s
lisäksi,in addition
niille,them
tappanut,killed
unohdin,forgot
fbi,fbi
lähetti,messenger
suunnitelma,plan
mukaani,with me
liiku,move
uskonut,thought
ainoastaan,only
näistä,these
laske,count
mary,mary
ikuisesti,forever
olisivat,would be
pitävät,consider
tietoa,knowledge
vuosia,for years
todellakaan,really
mahdollisuus,opportunity
naista,a woman
käymään,visit
olekaan,not the
tyttäreni,my daughter
puhunut,spoken
nykyään,today
kuolema,death
kolmen,the three
jonkin,something
unohtaa,forget
hra,Mr
kätesi,your hand
bobby,bobby
saisinko,would allow me
kaupunki,city
alusta,chassis
mahdotonta,out
pyydä,ask
halusit,wanted
näytti,looked
alex,alex
jim,jim
san,san
löytyy,can be found
kaunista,beautiful
työ,job
etsimään,in search of
tilaa,room
juo,drinking
pystyt,you can
bill,bill
maata,lie
puolet,half of
onnistu,succeed
nukkua,to sleep
tunnetko,do you know
ilmeisesti,apparently
poliisille,the police
taisi,would
tuoda,bring
oikeus,legal
toin,I brought
pääsen,I get
päähän,on
olitte,you were
puhumaan,to speak
maassa,on the ground
tiesi,knew
kiitti,thanked
sekuntia,seconds
kenenkään,anyone
tulemme,we come
vedä,Pull
tieltä,the way
kuva,picture
minäkään,me neither
kiire,hurry
hiukan,a little
totuuden,the truth
henry,henry
poliisit,police officers
tälle,this
parempaa,better
seuraavaksi,next
myöhäistä,late
tavallaan,kind of
vialla,wrong
sepä,that's
paikkaan,a place
pyysi,asked
autan,I help
maa,I
seksiä,having sex
pysähdy,stop
silmät,eyes
setä,uncle
nick,nick
päästäkää,Untie
huolehdi,worry
jäi,remained
sopiiko,all right
talossa,in a house
aikoo,intends to
uusia,renew
sota,war
oikoluku,Spell Check
todellako,Really
agentti,agent
estää,prevent
tapasin,I met
tosissasi,kidding
nälkä,hunger
suuntaan,in the direction of
vankilaan,jail
luojan,creator
ihme,wonder
vitsi,joke
monet,many
mieluummin,rather
itseään,itself
o,o
jokaisen,every
eddie,eddie
näit,you saw
kenelle,address of the
herran,the lord
tri,Dr.
typerä,silly
lupaa,permission
matka,travel
asiaan,relevant
lhan,lhan
etsiä,search
auttamaan,help
olisimme,we would
montako,how many
isänsä,father
lyö,beats
kesken,in progress
pelkään,I'm afraid
lopulta,eventually
millaista,what kind of
vetää,pull
olevansa,its
lähes,nearly
heippa,bye
paikassa,place
autossa,in a car
usa,U.S
haluaisitko,would you like
tehkää,do
kiirettä,hurry
mennyttä,the past
hetkeksi,for a while
yllätys,surprise
järkeä,common sense
puhuin,I spoke
helppo,easy
sana,word
vaimosi,your wife
loput,the rest
lasta,spatula
autoa,car
valmista,manufacturing
kutsua,invite
kylmä,cold
rakkaus,love
kaupungissa,in town
paikalle,the scene
poikki,across
lentää,fly
kuoleman,deadly
yrittänyt,tried
huone,room
matkaa,the trip
pystyn,I can
avulla,through
ollenkaan,at all
todistaa,evidence
poliisin,the police
näiden,these
kutsutaan,is called
yhdeksän,nine
käske,tell
pelata,to be afraid
tavannut,met
ulkopuolella,outside
kaikilla,all
professori,professor
syömään,eat
oi,Oh
huonosti,poorly
menemään,to go
kenellekään,anyone
tulivat,came to
aikaisemmin,earlier
vähemmän,less
selvittää,sort out
valita,care about
valitettavasti,unfortunately
luulee,thinks
luutnantti,lieutenant
voidaan,can be
tony,tony
olevasi,that you are
toisella,second
kuuma,hot
tulehan,come on
tv,TV
d,d
kiittää,thank
hienosti,finely
kertokaa,tell
tiesit,did you know
tuntui,seemed to
aamuna,morning
pitkälle,far
riitä,dispute
lukee,reads
huora,whore
varaa,Reserve
onhan,after all
hakea,seek
istua,sit
tarkoita,mean
löytänyt,found
siistiä,cool
käski,casque
ylhäällä,up
vetoa,bet
johtuu,is due to
väsynyt,tired
ajattelen,I think
luokse,with
nopeammin,faster
mutten,but I do not
mieti,think about
viimeisen,the last
valmiiksi,ready
veljesi,brother
tulta,Fire
varmaankin,surely
itseäni,myself
sairaalaan,to the hospital
oien,I 'm
ääni,sound
tuomari,judge
saitko,did you get
tää,this
tunsin,I felt
huoneessa,the room
kovaa,hard
yö,night
saatanan,fucking
nähneet,have seen
sarah,sarah
outo,strange
tyttöä,girls
löysimme,we found
jake,jake
laitan,I put
tuletko,are you coming
sulje,bracket
pelottaa,scare
hyväksi,for
pitämään,to keep
pidin,holder
päässyt,reached
tuntenut,felt the
toiseen,another
aseita,weapons
juhlat,party
mitkä,what
mistään,any
hengissä,alive
vahva,strong
i,i
hullua,crazy
tommy,tommy
eipä,let's not
oii,oii
käskin,commanded
tarkoitatko,you mean
päättää,decide
soitin,instrument
kuvitella,imagine
moni,multi
maksan,liver
ehdottomasti,absolutely
välittömästi,direct
etsivä,detective
annat,you give
johon,which
danny,danny
käänny,turn
takaa,from behind
katsos,you see
voisitteko,could you
sinäkö,dost thou
lähdössä,leaving
olisiko,whether
samaan,at the same
ääliö,jerk
matkaan,the trip
todellinen,real
jään,the ice
vaarallista,dangerous
kiinnosta,interest
työn,the work
sodan,the war
mielelläni,with pleasure
ihanaa,lovely
vankilassa,inside
odottanut,waiting for
hyppää,jumps
jolloin,when
kunpa,if only
tarkoittanut,mean to
ajattelet,think
löysi,found
valkoinen,white
hemmetti,hell
omat,own
koulussa,at school
loppuu,ends
puhui,spoke to
kutsu,call
kuulen,I hear
tuntea,feel
tekivät,made the
suu,mouth
l,l
mennessä,by
j,j
puhelin,phone
vaihtaa,change
sopimus,agreement
juttuja,stuff
kävin,I went
steve,steve
niillä,they have
suhteen,regarding
kuukauden,months
saaneet,received
nimeltä,named
menevät,go to
täytyi,had to
metriä,m
peliä,game
päivässä,day
kiinnostunut,interested
illan,evening
k,k
yhtäkkiä,suddenly
charles,charles
sanoivat,said,
voiko,whether
autosta,the car
todisteita,evidence
kutsuu,invites
toimia,act
olevani,was a
kunnia,honor
tapahtua,happen
kuole,die
taidat,canst thou
maailmaa,the world
suuren,great
lailla,by law
pysäytä,stop the
kuvia,pictures
hoida,treat
toisin,otherwise
avaimet,the keys
huolissani,worried
tapoit,you killed
hiton,helluva
kuunnella,listen
helposti,easily
missään,anywhere
muuttunut,altered
henkilö,person
kaikkialla,everywhere
menettää,lose
puolen,half
alhaalla,down
viestin,the message
avain,key
tulimme,we came
kysyin,I asked
ottanut,was taken by
vuoteen,by
luokseni,me
löydän,I can find
koulun,the school
kersantti,sergeant
saatana,Satan
monia,many
lasten,junior
sellaisen,of
kerrot,tell
annetaan,is given
lahja,gift
nosta,to raise
itsellesi,yourself
tahdo,do not want
löydämme,we find
tekevän,to do
mitenkään,in any way
johonkin,somewhere
ruumis,corpse
kuolemaa,death
hitaasti,slowly
kuolemaan,death
parin,a pair of
esittää,present
jessus,jessus
kyytiin,on
näyttävät,look
h,B
perillä,in
itsekin,another
otamme,we take
kanssamme,with us
rakkautta,love
jatkakaa,please continue
tapaa,way
hulluksi,crazy
saakka,until
kone,machine
pitääkö,Shall
vaatteet,clothing
otat,you take
lähdet,you leave
richard,richard
juotavaa,to drink
saatava,balance
oppia,learn
kenet,who
päästää,let
etsimme,we are looking for
aseen,gun
kuitenkaan,however
osaat,you know how
vau,wow
tie,road
olo,feeling
aloitetaan,started
piru,Devil
naisten,women's
pidämme,we like
heittää,throw
onnekas,lucky
kolmas,third
varokaa,Watch out
valmiita,ready
kysyn,I ask
musiikkia,music
kivaa,fun
ettemme,we do not
vastata,answer
äitinsä,mother
elämäsi,your life
martin,martin
chris,chris
pysäyttää,stop
muistaa,remember
kaupunkiin,city
näemme,we will see
com,com
pitkin,along
tietoja,information
sijaan,in exchange for
viiden,the five
pyysin,I asked
perheen,the family
kuolen,I die
mua,mua
vastaus,answer
uskotko,do you believe
kuolet,you will die
kanssanne,with you
dollarin,dollar
c,c
esitellä,introduce
tuollaista,things like that
vanhan,the old
p,p
kertomaan,to tell
juttua,story
taisin,I would
väliin,between
sanoinhan,I told you
osan,part
tuhota,destroy
ellet,unless you
valot,lights
suokaa,excuse
kuolleet,dead
syystä,justly
jumalauta,jumalauta
meneillään,in progress
pahasti,badly
majuri,major
prinsessa,princess
hyötyä,put to account
tuokaa,please bring
los,los
kirja,book
kuvan,image
riippuu,depends
lähetä,send
vauva,baby
toiset,other
mielestä,with
jätän,I leave
oh,OH
ison,the big
tämänkin,this too
lainkaan,at all
nimeä,the name of
opettaa,to teach
jonnekin,somewhere
kiinnostaa,interest
ampui,shot
vitut,Not True
oikealle,right
tullaan,will be
oikean,right
entäs,how about
myydä,sell
erään,a
jätkä,jack
ehkäpä,perhaps
vittuun,fuck yourself
tulitte,you came
väärä,wrong
palannut,returned
tajusin,I realized
b,b
sanaa,the word
puhelimessa,on the telephone
muutakin,more
lapseni,my children
vaatii,demands
käsi,hand
joudun,I have to
huomannut,noticed
potkut,sack
tosissani,serious
täydellistä,complete
kamu,pal
aseet,arms
ennenkin,before
perheeni,my family
kokonaan,wholly
niihin,to them
ensimmäistä,The first
annoit,you gave
sanoisin,I would say
amerikan,American
komentaja,commander
perässä,after
tiesitkö,Did you know
keksin,I invent
huomaa,find out
tuollainen,that kind of
nimen,the name
mulkku,dick
tuntee,knows the
asioista,things
poikasi,your son
de,de
rakastunut,enamored
tuolta,from beyond
konstaapeli,officer
jaksa,to cope
joulua,Christmas
punainen,red
jonain,one
robert,robert
tanssia,dance
joilla,with
ä,ä
odotamme,we expect
rakastat,you love
hankkia,acquire
vikaa,wrong with
toivoa,hope
sujuu,is going
tekisin,I would do
myöhään,late
vihaa,anger
koskee,concerns
emmekö,are not we
saivat,received
tiedot,information
raskaana,pregnant
pelkkää,plain
tulevan,the future
voitteko,can you
tappamaan,kill
miesten,men
löysit,you found
uudet,new
ajat,the times
armeijan,army
kilometriä,Kilometers
tulemaan,to come
jane,jane
sua,sua
kutsun,call
pientä,small
dave,dave
siten,so
polttaa,burn
ilo,joy
karkuun,get away
muttei,but not
kas,look
olemmeko,we are
istukaa,sit down
silmäsi,your eyes
etteivät,that
liittyy,associated with
miehesi,your husband
huomio,attention
taivas,sky
perään,after
tarkoitin,I meant
andy,andy
kate,cover
päällikkö,master
aikoina,in times of
luulisin,I fancy
istumaan,to sit
itsestäsi,yourself
tajuatko,okay
kirjan,the book
soittanut,called
m,m
don,don
niinhän,that's what
viikko,week
sotilas,military
ketkä,who
sydän,heart
sairaalassa,in the hospital
la,la
mut,mut
isi,daddy
selvästi,clearly
arvoinen,worth
ajoissa,in time
tapaamme,we will meet
tekemässä,doing
tunti,hour
kuntoon,shape
asua,live
kävellä,walk
vastuussa,accountable
jerry,jerry
vasemmalle,left
pulassa,in trouble
keksi,Cookie
mukaasi,with you
sänkyyn,the bed
sellaisia,of
homo,gay
tä,s
